original_language,popularity,release_date,vote_average,vote_count,studio,movie,production_budget,domestic_gross,worldwide_gross
en,28.734,2010-03-26,7.7,7610,P/DW,How to Train Your Dragon,"$165,000,000","$217,581,232","$494,870,992"
en,28.515,2010-05-07,6.8,12368,Par.,Iron Man 2,"$170,000,000","$312,433,331","$621,156,389"
en,27.92,2010-07-16,8.3,22186,WB,Inception,"$160,000,000","$292,576,195","$835,524,642"
en,24.445,2010-06-17,7.7,8340,BV,Toy Story 3,"$200,000,000","$415,004,880","$1,068,879,522"
en,23.673000000000002,2010-07-09,7.2,10057,Uni.,Despicable Me,"$69,000,000","$251,513,985","$543,464,573"
en,22.855,2010-11-04,6.8,3635,P/DW,Megamind,"$130,000,000","$148,415,853","$321,887,208"
en,21.517,2010-08-03,6.1,4647,LGF,The Expendables,"$82,000,000","$103,068,524","$268,268,174"
en,21.511,2010-11-24,7.5,6407,BV,Tangled,"$260,000,000","$200,821,936","$586,477,240"
en,20.34,2010-06-23,6.0,4909,Sum.,The Twilight Saga: Eclipse,"$68,000,000","$300,531,751","$706,102,828"
en,18.985,2010-01-11,6.7,3495,WB,The Book of Eli,"$80,000,000","$94,835,059","$158,750,817"
en,18.06,2010-02-18,8.1,12625,Par.,Shutter Island,"$80,000,000","$128,012,934","$299,461,782"
en,17.382,2010-12-10,6.3,3196,Fox,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$155,000,000","$104,386,950","$418,186,950"
en,17.097,2010-06-11,6.3,2703,Fox,The A-Team,"$110,000,000","$77,222,099","$177,241,171"
en,16.595,2010-07-01,4.6,2143,Par.,The Last Airbender,"$150,000,000","$131,772,187","$319,713,881"
en,16.215999999999998,2010-07-03,6.1,1979,Fox,Predators,"$40,000,000","$52,000,688","$127,234,389"
en,15.889000000000001,2010-10-01,7.2,6116,Sony,The Social Network,"$40,000,000","$96,962,694","$224,922,135"
en,15.444,2010-05-14,6.3,2569,Uni.,Robin Hood,"$99,000,000","$30,824,628","$84,747,441"
en,15.444,2010-05-14,6.3,2569,Uni.,Robin Hood,"$210,000,000","$105,487,148","$322,459,006"
en,15.040999999999999,2010-05-16,6.1,3843,P/DW,Shrek Forever After,"$165,000,000","$238,736,787","$756,244,673"
en,14.69,2010-09-17,6.8,4168,SGem,Easy A,"$8,000,000","$58,401,464","$76,200,721"
en,14.463,2010-07-13,5.9,2879,BV,The Sorcerer's Apprentice,"$160,000,000","$63,150,991","$217,986,320"
en,14.290999999999999,2010-06-24,6.1,3171,Sony,Grown Ups,"$75,000,000","$162,001,186","$272,223,430"
en,14.172,2010-11-23,6.2,895,CBS,Faster,"$24,000,000","$23,240,020","$35,792,945"
en,14.03,2010-02-12,5.7,1009,Uni.,The Wolfman,"$150,000,000","$62,189,884","$142,634,358"
en,14.01,2010-11-12,6.4,1913,Fox,Unstoppable,"$95,000,000","$81,562,942","$165,720,921"
en,13.745,2010-12-03,7.6,8374,FoxS,Black Swan,"$13,000,000","$106,954,678","$331,266,710"
en,13.548,2010-02-15,6.1,673,Magn.,Centurion,"$15,000,000","$123,570","$7,885,048"
en,13.508,2010-08-06,6.2,2187,Sony,The Other Guys,"$100,000,000","$119,219,978","$170,936,470"
en,13.475999999999999,2010-09-17,7.1,2386,WB,The Town,"$37,000,000","$92,186,262","$152,566,881"
en,13.467,2010-06-18,4.6,708,WB,Jonah Hex,"$47,000,000","$10,547,117","$11,022,696"
en,13.118,2010-12-22,7.2,2816,Par.,True Grit,"$35,000,000","$171,243,005","$252,276,928"
en,13.102,2010-10-08,6.3,977,Anch.,I Spit on Your Grave,"$1,750,000","$93,051","$1,278,471"
en,13.08,2010-04-16,7.1,7540,LGF,Kick-Ass,"$28,000,000","$48,071,303","$97,531,134"
en,13.025,2010-07-23,6.3,3240,Sony,Salt,"$130,000,000","$118,311,368","$290,650,494"
en,12.65,2010-01-22,5.3,1058,Fox,Tooth Fairy,"$48,000,000","$60,022,256","$112,610,386"
en,12.557,2010-09-03,6.3,1862,Fox,Machete,"$12,500,000","$26,593,646","$46,370,970"
en,12.498,2010-04-08,6.0,1743,Fox,Date Night,"$55,000,000","$98,711,404","$152,269,033"
en,12.445,2010-11-04,6.3,2973,WB,Due Date,"$65,000,000","$100,539,043","$211,739,043"
en,12.437000000000001,2010-03-19,6.2,976,Uni.,Repo Men,"$32,000,000","$13,942,007","$18,195,238"
en,12.255999999999998,2010-06-10,6.3,3140,Sony,The Karate Kid,"$8,000,000","$90,815,558","$90,815,558"
en,12.255999999999998,2010-06-10,6.3,3140,Sony,The Karate Kid,"$40,000,000","$176,591,618","$351,774,938"
en,12.255999999999998,2010-03-19,6.0,736,Fox,Diary of a Wimpy Kid,"$15,000,000","$64,003,625","$76,954,311"
en,12.245999999999999,2010-02-26,6.2,1036,Over.,The Crazies,"$19,000,000","$39,123,589","$56,445,534"
en,12.152999999999999,2010-12-21,5.6,1883,Uni.,Little Fockers,"$100,000,000","$148,438,600","$310,650,574"
en,12.048,2010-02-04,6.8,2676,SGem,Dear John,"$25,000,000","$80,014,842","$142,033,509"
en,11.821,2010-01-08,6.7,990,Uni.,Leap Year,"$19,000,000","$25,918,920","$32,618,920"
en,11.519,2010-03-11,6.4,1176,Uni.,Green Zone,"$100,000,000","$35,497,337","$97,523,020"
en,11.453,2010-03-12,7.1,2079,Sum.,Remember Me,"$16,000,000","$19,068,240","$56,506,120"
en,11.435,2010-11-05,7.0,4469,FoxS,127 Hours,"$18,000,000","$18,335,230","$60,217,171"
en,11.302,2010-08-20,5.3,1029,W/Dim.,Piranha 3D,"$24,000,000","$25,003,155","$83,660,160"
en,11.252,2010-01-29,6.3,794,WB,Edge of Darkness,"$60,000,000","$43,313,890","$82,812,456"
en,11.187000000000001,2010-02-11,5.8,1907,WB (NL),Valentine's Day,"$52,000,000","$110,485,654","$217,569,328"
en,11.147,2010-11-19,7.0,1469,LGF,The Next Three Days,"$30,000,000","$21,148,651","$67,255,916"
en,10.888,2010-09-24,6.6,1487,LGF,Buried,"$1,987,650","$1,044,143","$21,270,290"
en,10.767999999999999,2010-12-25,5.1,1282,Fox,Gulliver's Travels,"$112,000,000","$42,779,261","$232,017,848"
en,10.754000000000001,2010-09-24,6.6,1223,WB,Legend of the Guardians: The Owls of Ga'Hoole,"$100,000,000","$55,675,313","$139,716,717"
en,10.745999999999999,2010-01-15,5.7,650,LGF,The Spy Next Door,"$28,000,000","$24,307,106","$46,752,858"
en,10.595,2010-11-10,6.3,717,Par.,Morning Glory,"$40,000,000","$31,011,732","$59,795,070"
en,10.555,2010-04-30,6.8,505,Gold.,Harry Brown,"$7,300,000","$1,818,681","$12,023,606"
en,10.544,2010-07-30,4.9,273,WB,Cats & Dogs: The Revenge of Kitty Galore,"$85,000,000","$43,585,753","$113,026,383"
en,10.395,2010-12-17,7.3,2325,Par.,The Fighter,"$11,000,000","$93,617,009","$129,262,388"
en,10.307,2010-12-10,6.1,3133,Sony,The Tourist,"$100,000,000","$67,631,157","$278,731,369"
en,10.221,2010-06-04,5.8,1314,LGF,Killers,"$75,000,000","$47,059,963","$95,572,749"
en,10.208,2010-09-24,6.2,734,BV,You Again,"$20,000,000","$25,702,053","$32,838,945"
en,10.203,2010-09-17,5.9,1516,Uni.,Devil,"$10,000,000","$33,679,655","$63,354,114"
en,10.202,2010-04-23,6.2,844,WB,The Losers,"$25,000,000","$23,591,432","$29,863,840"
en,10.187999999999999,2010-08-13,6.8,399,SPC,Animal Kingdom,"$4,200,000","$1,044,039","$8,078,683"
en,10.175,2010-10-29,6.2,848,Magn.,Monsters,"$500,000","$237,301","$5,639,730"
en,10.15,2010-03-26,6.0,1383,MGM,Hot Tub Time Machine,"$36,000,000","$50,269,859","$65,967,750"
en,10.012,2010-09-15,6.8,1294,FoxS,Never Let Me Go,"$15,000,000","$2,434,652","$11,173,718"
en,10.01,2010-10-08,7.0,1324,Focus,It's Kind of a Funny Story,"$8,000,000","$6,363,628","$6,632,950"
en,9.991,2010-08-12,6.0,1208,Sony,Eat Pray Love,"$60,000,000","$80,574,010","$206,598,789"
en,9.986,2010-05-27,5.9,809,WB (NL),Sex and the City 2,"$95,000,000","$95,347,692","$294,680,778"
en,9.968,2010-11-05,7.0,621,Drft.,Four Lions,"$3,750,000","$310,007","$2,436,111"
en,9.861,2010-03-19,5.7,1627,Sony,The Bounty Hunter,"$45,000,000","$67,061,228","$135,808,837"
en,9.824,2010-06-11,6.9,931,RAtt.,Winter's Bone,"$2,000,000","$6,531,503","$16,131,551"
en,9.808,2010-10-08,5.4,247,Uni.,My Soul to Take,"$25,000,000","$14,744,435","$16,727,470"
en,9.781,2010-08-06,7.4,859,WB,Flipped,"$14,000,000","$1,755,212","$4,289,993"
en,9.716000000000001,2010-10-01,6.7,1061,Over.,Let Me In,"$20,000,000","$12,134,935","$28,270,399"
en,9.677999999999999,2010-02-05,5.8,987,BV,Frozen,"$150,000,000","$400,738,009","$1,272,469,910"
en,9.562999999999999,2010-09-24,7.3,773,IFC,Enter the Void,"$16,000,000","$337,997","$1,467,278"
en,9.514,2010-10-08,7.8,466,SPC,Inside Job,"$2,000,000","$4,311,834","$7,799,257"
en,9.454,2010-05-01,6.9,1398,Uni.,Charlie St. Cloud,"$44,000,000","$31,206,263","$48,478,084"
en,9.45,2010-04-02,4.6,283,Sum.,Furry Vengeance,"$35,000,000","$17,630,465","$39,340,177"
en,9.432,2010-12-17,6.1,149,ATO,Casino Jack,"$12,500,000","$2,039,869","$2,272,186"
en,9.395,2009-11-07,5.7,416,Anch.,After.Life,"$4,500,000","$108,596","$2,481,925"
en,9.394,2010-12-29,7.0,150,SPC,Another Year,"$8,000,000","$3,205,706","$20,005,613"
en,9.394,2010-05-14,6.9,1706,Sum.,Letters to Juliet,"$30,000,000","$53,032,453","$82,148,538"
en,9.389,2010-12-16,6.8,292,LGF,Rabbit Hole,"$5,000,000","$2,229,058","$6,205,034"
en,9.355,2010-10-29,6.4,356,Free,Wild Target,"$8,000,000","$109,338","$5,314,194"
en,9.35,2010-08-27,5.6,519,LGF,The Last Exorcism,"$1,800,000","$41,034,350","$70,165,900"
en,9.237,2010-03-31,7.2,2199,BV,The Last Song,"$20,000,000","$62,950,384","$92,678,948"
en,9.096,2010-12-17,5.3,387,WB,Yogi Bear,"$80,000,000","$100,246,011","$204,774,690"
en,9.087,2010-04-30,6.6,280,Anch.,The Disappearance of Alice Creed,"$1,500,000","$166,980","$1,605,139"
en,9.059,2010-10-08,7.0,200,BV,Secretariat,"$35,000,000","$59,699,513","$60,376,247"
en,9.042,2010-09-01,5.8,690,Focus,The American,"$20,000,000","$35,606,376","$67,950,723"
en,8.994,2010-12-29,6.9,1677,Wein.,Blue Valentine,"$1,000,000","$9,737,892","$16,566,240"
en,8.992,2010-08-18,4.1,658,Fox,Vampires Suck,"$20,000,000","$36,661,504","$81,424,988"
en,8.969,2010-08-26,6.2,605,SGem,Takers,"$32,000,000","$57,744,720","$70,587,268"
en,8.847000000000001,2010-11-12,4.8,833,Uni.,Skyline,"$10,000,000","$21,416,355","$68,264,973"
en,8.82,2010-02-26,5.4,796,WB,Cop Out,"$37,000,000","$44,875,481","$55,909,910"
en,8.807,2010-03-26,5.9,940,SPC,Chloe,"$13,000,000","$3,075,255","$11,831,131"
en,8.799,2010-10-01,6.2,415,IFC,Stake Land,"$4,000,000","$33,245","$679,482"
en,8.676,2010-11-23,7.1,1195,SGem,Burlesque,"$55,000,000","$39,440,655","$90,552,675"
en,8.487,2010-06-04,5.1,367,Fox,Marmaduke,"$50,000,000","$33,644,788","$89,895,930"
en,8.485,2010-06-04,5.9,980,Uni.,Get Him to the Greek,"$40,000,000","$61,153,526","$91,455,875"
en,8.426,2010-07-09,6.6,854,Focus,The Kids Are All Right,"$4,000,000","$20,811,365","$36,275,469"
en,8.405,2010-11-06,5.5,550,FD,Don't Be Afraid of the Dark,"$25,000,000","$24,046,682","$39,126,427"
en,8.401,2010-10-22,5.2,334,Over.,Stone,"$22,000,000","$1,810,078","$4,065,020"
en,8.347999999999999,2010-10-29,6.5,241,Gold.,Welcome to the Rileys,"$10,000,000","$152,857","$355,919"
en,8.318999999999999,2010-09-01,5.9,417,Magn.,Rubber,"$500,000","$100,370","$680,914"
en,8.281,2010-09-03,6.0,394,WB (NL),Going the Distance,"$32,000,000","$17,804,299","$43,603,990"
en,8.259,2010-12-03,6.1,203,Rela.,The Warrior's Way,"$42,000,000","$5,666,340","$8,514,325"
en,8.215,2010-01-22,6.7,135,SPC,Get Low,"$7,000,000","$9,176,933","$10,828,305"
en,8.19,2010-03-19,6.4,448,App.,The Runaways,"$9,500,000","$3,573,673","$5,278,632"
en,8.163,2010-10-21,5.7,1342,Par.,Paranormal Activity 2,"$3,000,000","$84,752,907","$177,512,032"
en,7.886,2010-10-22,5.9,848,WB,Hereafter,"$50,000,000","$32,746,941","$108,660,270"
en,7.871,2010-12-03,6.0,493,Magn.,All Good Things,"$20,000,000","$582,024","$873,617"
en,7.829,2010-02-12,6.8,1135,Sum.,The Ghost Writer,"$45,000,000","$15,541,549","$65,532,491"
en,7.775,2010-03-12,6.1,970,Par.,She's Out of My League,"$20,000,000","$32,010,860","$48,680,977"
en,7.745,2010-08-20,6.1,1008,Mira.,The Switch,"$19,000,000","$27,758,465","$49,858,465"
en,7.735,2010-06-18,6.0,201,FoxS,Cyrus,"$7,000,000","$7,468,936","$10,062,896"
es,7.697,2010-12-28,7.2,546,RAtt.,Biutiful,"$35,000,000","$5,101,237","$24,687,524"
en,7.666,2010-05-21,5.3,270,Uni.,MacGruber,"$10,000,000","$8,525,600","$8,629,895"
en,7.596,2010-12-22,6.1,376,Focus,Somewhere,"$7,000,000","$1,785,645","$17,023,121"
en,7.567,2010-12-22,6.3,126,SGem,Country Strong,"$15,000,000","$20,218,921","$20,601,987"
en,7.566,2010-11-24,5.5,97,Free,The Nutcracker in 3D,"$90,000,000","$195,459","$20,466,016"
en,7.532,2010-04-21,7.2,167,BV,Oceans,"$80,000,000","$19,422,319","$86,787,530"
en,7.51,2010-10-15,7.2,297,FoxS,Conviction,"$12,500,000","$6,797,696","$11,826,980"
en,7.442,2010-07-23,6.3,460,Fox,Ramona and Beezus,"$15,000,000","$26,167,002","$27,469,621"
en,7.309,2010-10-08,6.5,113,Osci.,Meek's Cutoff,"$2,000,000","$977,772","$1,869,928"
en,7.275,2010-11-19,6.6,150,SPC,Made in Dagenham,"$8,000,000","$1,095,369","$15,644,196"
en,7.14,2010-01-22,7.0,335,WHE,Hesher,"$7,000,000","$382,946","$382,946"
en,7.099,2010-01-27,7.3,469,Wein.,Nowhere Boy,"$1,900,000","$1,445,366","$7,785,229"
en,7.087000000000001,2010-04-27,5.9,304,IFC,The Killer Inside Me,"$13,000,000","$217,277","$3,617,277"
en,7.047000000000001,2010-05-14,6.2,211,FoxS,Just Wright,"$12,000,000","$21,540,363","$21,867,665"
en,6.824,2010-10-02,6.1,80,Wein.,Shanghai,"$50,000,000","$46,425","$15,505,922"
en,6.695,2010-11-12,5.9,82,IFC,Tiny Furniture,"$50,000","$391,674","$424,149"
en,6.632000000000001,2010-07-30,5.6,920,P/DW,Dinner for Schmucks,"$69,000,000","$73,026,337","$86,796,502"
en,6.568,2010-10-11,7.0,87,IFC,Carlos,"$18,000,000","$145,526","$1,619,153"
en,6.44,2010-10-01,4.1,63,NFC,Chain Letter,"$3,000,000","$205,842","$1,022,453"
en,6.4239999999999995,2010-04-16,6.2,312,RAtt.,The Joneses,"$10,000,000","$1,475,746","$3,541,565"
en,6.3,2010-01-21,6.3,153,CBS,Extraordinary Measures,"$31,000,000","$12,482,741","$15,826,984"
en,6.3,2010-12-10,5.8,52,Mira.,The Tempest,"$20,000,000","$277,943","$277,943"
en,6.209,2010-05-23,5.8,431,SPC,You Will Meet a Tall Dark Stranger,"$15,000,000","$3,247,816","$34,247,816"
hi,6.058,2010-05-21,5.8,67,Relbig.,Kites,"$9,200,000","$1,685,269","$17,155,193"
en,5.996,2010-09-17,6.0,214,First,Leaves of Grass,"$9,000,000","$70,066","$85,527"
en,5.945,2010-01-22,6.3,81,SPC,Please Give,"$3,000,000","$4,033,574","$4,570,178"
en,5.7620000000000005,2010-06-03,5.8,68,Anch.,High School,"$10,000,000","$139,034","$248,133"
en,5.705,2010-10-01,6.6,57,Magn.,Freakonomics,"$2,900,000","$101,270","$172,867"
en,5.056,2010-08-01,5.9,46,Magn.,The Extra Man,"$7,000,000","$453,377","$492,108"
en,5.025,2010-03-12,5.5,57,FoxS,Our Family Wedding,"$14,000,000","$20,255,281","$21,410,546"
en,4.958,2010-04-16,6.3,44,IW,The Perfect Game,"$12,500,000","$1,089,445","$3,931,367"
en,4.242,2010-04-09,6.9,71,Viv.,Letters to God,"$3,000,000","$2,848,587","$3,237,452"
en,2.858,2010-11-05,6.8,33,LGF,For Colored Girls,"$21,000,000","$37,729,698","$38,017,873"
en,2.7460000000000004,2010-05-14,7.4,12,3D,Sea Rex 3D: Journey to a Prehistoric World,"$5,000,000","$6,096,582","$16,515,203"
en,2.681,2010-08-20,7.0,45,Gold.,Mao's Last Dancer,"$18,000,000","$4,806,750","$25,941,437"
en,2.3209999999999997,2010-04-30,6.4,30,Magn.,The Good Heart,"$3,800,000","$20,930","$340,930"
en,2.1719999999999997,2010-04-01,7.1,35,Sony,Pixels,"$90,000,000","$78,765,986","$244,041,804"
en,1.3319999999999999,2010-10-08,4.6,12,UTV,It's a Wonderful Afterlife,"$10,000,000",$0,"$1,642,939"
en,0.8340000000000001,2010-02-01,5.5,8,Uni.,Get Out,"$5,000,000","$176,040,665","$255,367,951"
en,0.667,2010-09-10,5.9,2119,SGem,Resident Evil: Afterlife,"$57,500,000","$60,128,566","$295,874,190"
en,0.6,2010-04-20,5.9,5,Rela.,The Raven,"$26,000,000","$16,008,272","$30,601,801"
th,0.6,2010-01-19,5.0,1,BV,Brave,"$185,000,000","$237,282,182","$554,606,532"
en,0.6,2010-02-09,4.8,3,Rela.,The Lazarus Effect,"$5,000,000","$25,801,570","$38,359,310"
es,0.6,2010-11-03,3.0,3,FCW,Trash,"$12,000,000","$17,484","$6,553,186"
en,0.6,2010-01-01,3.0,4,Uni.,Your Highness,"$50,000,000","$21,596,445","$26,121,638"
en,38.068000000000005,2011-05-06,6.7,12764,Par.,Thor,"$150,000,000","$181,030,624","$449,326,618"
en,32.266,2011-05-25,6.4,6231,WB,The Hangover Part II,"$80,000,000","$254,464,305","$586,464,305"
en,30.579,2011-05-20,6.4,8571,BV,Pirates of the Caribbean: On Stranger Tides,"$410,600,000","$241,063,875","$1,045,663,875"
en,25.808000000000003,2011-07-22,6.9,12810,Par.,Captain America: The First Avenger,"$140,000,000","$176,654,505","$370,569,776"
en,23.498,2011-06-16,5.9,4058,BV,Cars 2,"$200,000,000","$191,450,875","$560,155,383"
en,22.995,2011-08-04,7.2,7259,Fox,Rise of the Planet of the Apes,"$93,000,000","$176,760,185","$470,986,200"
en,19.453,2011-03-08,7.1,6295,Rela.,Limitless,"$27,000,000","$79,249,455","$155,564,919"
en,18.912,2011-10-28,6.8,6245,Fox,In Time,"$35,000,000","$37,553,932","$165,103,952"
en,18.678,2011-12-10,4.8,2039,Sony,Ghost Rider: Spirit of Vengeance,"$57,000,000","$51,774,002","$149,217,355"
en,18.301,2011-12-16,7.1,6380,WB,Sherlock Holmes: A Game of Shadows,"$125,000,000","$186,848,418","$535,663,443"
en,17.823,2011-12-14,7.3,3971,MBox,The Girl with the Dragon Tattoo,"$90,000,000","$102,515,793","$239,373,970"
en,17.69,2011-09-23,5.8,1791,LGF,Abduction,"$35,000,000","$28,087,155","$86,648,359"
en,17.363,2011-05-25,6.7,3628,P/DW,Kung Fu Panda 2,"$150,000,000","$165,249,063","$664,837,547"
en,17.257,2011-06-17,5.1,4290,WB,Green Lantern,"$200,000,000","$116,601,172","$219,535,492"
en,17.242,2011-12-20,7.9,3279,Magn.,Mr. Nobody,"$46,500,000","$3,622","$22,254"
en,16.533,2011-07-29,5.6,2112,Sony,The Smurfs,"$110,000,000","$142,614,158","$563,749,323"
en,16.197,2011-04-01,6.9,3582,FD,Insidious,"$1,500,000","$54,009,150","$99,870,886"
en,16.082,2011-04-11,6.2,1610,W/Dim.,Scream 4,"$40,000,000","$38,180,928","$95,989,590"
en,16.024,2011-02-18,5.5,623,Fox,"Big Mommas: Like Father, Like Son","$32,000,000","$37,915,414","$82,332,450"
en,15.542,2011-10-21,6.1,1810,Uni.,Johnny English Reborn,"$45,000,000","$8,406,711","$164,640,401"
en,15.478,2011-09-09,7.8,2189,LGF,Warrior,"$25,000,000","$13,657,115","$24,215,385"
en,15.392999999999999,2011-09-22,7.1,2255,Sony,Moneyball,"$50,000,000","$75,605,492","$111,300,835"
en,15.335999999999999,2012-04-12,6.5,4185,LGF,The Cabin in the Woods,"$30,000,000","$42,073,277","$70,689,968"
en,15.318,2011-05-13,5.5,1157,SGem,Priest,"$60,000,000","$29,136,626","$84,154,026"
en,15.234000000000002,2011-03-17,6.5,3017,Uni.,Paul,"$40,000,000","$37,412,945","$101,162,106"
en,15.135,2011-09-23,6.2,1093,ORF,Killer Elite,"$70,000,000","$25,124,986","$65,409,046"
en,14.811,2011-10-06,6.8,4566,BV,Real Steel,"$110,000,000","$85,463,309","$263,880,341"
en,14.774000000000001,2011-11-11,5.8,1431,Rela.,Immortals,"$75,000,000","$83,504,017","$211,562,435"
en,14.738,2011-04-01,5.6,611,Uni.,Hop,"$63,000,000","$108,085,305","$188,657,593"
en,14.695,2011-04-15,6.6,3730,Fox,Rio,"$90,000,000","$143,619,809","$487,519,809"
en,14.501,2011-01-13,5.5,1897,Sony,The Green Hornet,"$110,000,000","$98,780,042","$229,155,503"
en,14.462,2011-03-03,6.6,3412,Par.,Rango,"$135,000,000","$123,477,607","$245,724,600"
en,14.415999999999999,2011-03-25,6.0,2716,WB,Sucker Punch,"$75,000,000","$36,392,502","$89,758,389"
en,14.39,2011-06-09,6.7,3934,Par.,Super 8,"$50,000,000","$127,004,179","$257,972,745"
en,14.387,2011-01-28,6.3,1676,CBS,The Mechanic,"$42,500,000","$29,121,498","$76,347,393"
en,14.203,2011-01-21,6.2,2612,Par.,No Strings Attached,"$25,000,000","$70,662,220","$149,228,078"
en,14.095999999999998,2011-02-24,5.3,959,Sum.,Drive Angry,"$50,000,000","$10,721,033","$41,042,583"
en,14.058,2011-07-08,6.5,3842,WB (NL),Horrible Bosses,"$35,000,000","$117,538,559","$212,417,601"
en,14.019,2011-07-21,6.6,4637,SGem,Friends with Benefits,"$35,000,000","$55,802,754","$146,595,891"
en,13.717,2011-03-04,6.6,2615,Uni.,The Adjustment Bureau,"$50,200,000","$62,495,645","$126,931,325"
en,13.549000000000001,2011-06-19,5.5,2894,Sony,Bad Teacher,"$19,000,000","$100,292,856","$215,448,997"
en,13.495,2011-04-01,7.2,4529,Sum.,Source Code,"$32,000,000","$54,712,227","$140,428,499"
en,13.392000000000001,2011-08-12,6.0,1701,WB (NL),Final Destination 5,"$40,000,000","$42,587,643","$155,011,165"
en,13.171,2011-05-20,7.5,3965,SPC,Midnight in Paris,"$30,000,000","$56,816,662","$162,502,774"
en,13.152000000000001,2011-12-02,7.0,1607,FoxS,Shame,"$6,500,000","$4,002,293","$20,412,841"
en,12.981,2011-11-23,6.7,692,Sony,Arthur Christmas,"$85,000,000","$46,462,469","$149,717,124"
en,12.942,2012-01-27,6.5,2280,ORF,The Grey,"$25,000,000","$51,580,136","$81,249,176"
en,12.936,2011-11-23,7.1,4124,Par.,Hugo,"$180,000,000","$73,864,507","$180,047,784"
en,12.720999999999998,2011-03-08,5.6,2049,Sony,Battle: Los Angeles,"$70,000,000","$83,552,429","$213,463,976"
